elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
762;25;2;1;3;999;2;94;5;5;4;2;1;4;8;18;99;99;99;5;1;3;2;2;5;2;2;1;1;1;1;1;7;2;4;3;10;10;10;0;2;2;0;0;2;2;1;2;1;2;10;0;12;0;12;8;2;1;1;10;10;10;10;10;99;99;99;5;8;2;2;4;3;4;1;2;4;2;4;1;1,02212682455538
763;604;2;1;3;83;1;66;5;2;3;2;2;8;13;2;7;99;99;2;2;3;2;2;2;2;3;1;1;1;2;1;6;5;7;3;10;10;4;2;4;2;2;0;2;2;2;2;2;1;5;3;4;2;3;12;2;2;2;6;7;7;5;5;8;7;2;5;5;3;3;3;4;2;2;2;4;1;4;1;,543280918963283
764;544;2;1;3;999;2;81;5;2;3;1;3;99;99;99;99;99;99;2;2;3;2;1;2;2;2;1;1;1;1;1;7;10;10;3;10;10;10;5;5;3;0;0;2;2;2;1;1;1;8;5;5;12;12;12;2;1;2;7;8;8;6;7;99;99;99;5;7;1;2;1;3;2;1;2;4;2;4;1;,684568676480529
765;47;2;1;3;20;2;64;1;2;3;2;5;13;2;8;31;99;99;5;2;3;3;2;5;3;3;1;1;2;2;2;7;6;10;4;10;10;3;9;3;2;0;0;2;2;1;2;1;1;9;11;12;11;12;12;2;3;2;6;6;7;6;6;99;99;99;3;5;1;2;4;3;2;2;5;4;2;4;1;1,41062105015695
766;875;2;1;2;69;2;64;5;2;5;2;5;1;16;8;99;99;99;5;2;3;2;2;2;3;1;1;1;2;1;2;7;6;3;8;8;8;4;10;2;5;0;0;2;2;2;2;1;2;4;9;2;0;12;0;3;3;3;5;5;4;4;4;6;98;98;0;10;1;1;1;5;3;6;2;4;2;4;1;,944762393591992
767;350;2;2;3;17;1;53;1;2;3;2;2;1;2;9;1;2;14;2;2;2;3;1;1;2;4;1;1;1;1;1;7;6;10;2;10;10;8;6;3;4;0;0;2;2;2;2;2;2;8;5;6;0;4;0;2;2;1;7;7;8;6;6;1;9;99;3;6;1;3;2;5;2;2;2;4;1;2;4;,684568676480529
768;336;2;1;3;20;1;71;5;4;4;3;2;3;4;5;7;4;4;1;2;3;2;2;2;2;1;1;1;6;2;6;2;4;5;10;10;10;1;0;0;0;3;0;2;2;2;2;1;1;3;1;1;3;12;12;3;3;3;4;3;2;1;4;6;98;4;5;0;3;3;5;4;2;1;2;4;1;4;1;1,60316627844524
769;339;2;1;3;999;2;51;6;4;4;4;4;10;4;6;6;6;7;4;4;1;1;3;4;4;1;1;1;8;1;14;4;1;2;8;8;8;0;0;0;0;0;0;2;2;2;2;2;1;0;0;0;0;0;12;5;3;4;0;0;0;0;0;98;5;35;11;11;6;3;1;5;4;8;2;4;4;4;1;,649638869842709
770;319;2;2;3;20;1;37;1;2;3;3;3;25;6;6;6;1;8;2;2;3;2;2;2;1;2;1;2;2;2;2;6;7;10;3;1;4;4;8;4;6;0;0;2;2;2;2;2;2;7;5;5;5;5;5;3;2;2;7;7;6;6;7;6;16;8;2;6;2;2;1;5;3;7;2;4;1;2;4;,944762393591992
771;349;2;1;3;54;1;68;1;3;4;3;3;16;4;99;98;99;99;2;2;3;2;2;2;4;1;1;1;13;5;15;5;2;4;10;10;10;2;0;3;0;6;6;2;2;2;2;1;2;5;0;2;6;12;6;3;4;1;6;4;11;2;5;4;35;6;11;0;4;3;3;4;2;1;2;4;1;4;1;,852115048818475
772;44;2;1;3;17;1;34;1;1;2;1;1;2;1;99;2;6;22;1;3;1;2;1;1;3;3;3;1;1;3;9;7;5;10;2;3;10;9;8;7;5;5;0;2;1;1;1;1;1;10;12;12;12;12;12;1;1;2;10;10;10;10;10;8;2;9;5;10;2;4;4;5;3;4;7;2;1;4;1;3,52963775637748
773;544;2;1;3;20;2;79;3;5;2;2;2;99;99;99;99;99;99;5;2;3;3;2;3;3;4;1;6;10;5;10;8;8;8;8;8;8;3;0;4;2;1;0;2;1;1;1;1;1;11;12;12;12;12;12;3;4;3;9;11;8;4;0;6;99;99;5;0;3;3;5;2;3;1;5;4;2;4;1;1,11377867765627
774;47;2;2;3;20;2;34;1;2;3;2;3;10;16;99;2;10;99;2;2;2;1;3;5;1;5;2;6;12;5;1;7;10;10;5;3;10;5;0;5;5;0;0;1;1;1;1;1;2;12;12;12;12;12;11;2;3;3;7;2;7;5;2;99;99;99;5;11;6;1;4;5;2;7;4;4;2;2;4;1,02212682455538
775;366;2;1;3;13;1;44;1;4;4;2;3;5;10;6;6;6;7;2;4;1;1;4;2;1;1;1;1;8;2;7;2;5;3;7;1;10;7;0;2;2;4;7;2;1;1;1;1;1;4;12;12;12;12;12;2;3;4;5;0;5;1;5;5;12;35;8;5;3;3;3;2;3;2;2;4;1;4;1;,852115048818475
776;349;2;1;3;17;1;61;5;3;4;3;4;1;2;30;9;98;1;2;3;3;4;1;2;3;1;1;1;10;5;10;3;6;1;2;4;10;4;6;0;0;0;0;2;2;1;2;1;2;5;2;12;1;12;5;4;3;2;6;5;6;4;4;4;98;98;1;10;1;1;3;2;3;7;5;4;1;4;1;,591995718126295
777;544;2;1;3;13;2;61;1;2;1;1;1;8;2;1;2;8;99;3;2;3;1;2;1;3;1;1;1;3;1;4;6;7;10;2;10;10;7;8;10;8;0;0;2;2;1;1;2;1;7;7;12;12;6;12;1;2;2;8;8;9;7;8;8;10;99;1;3;3;2;5;2;3;6;2;4;2;4;1;,801583139222621
778;339;2;1;3;13;1;70;5;2;2;2;3;2;1;5;6;99;99;2;2;3;3;2;2;3;2;1;2;1;3;1;6;7;10;3;2;10;7;7;6;6;0;0;2;2;2;1;1;1;6;6;6;12;12;12;3;2;2;4;5;7;3;4;13;99;99;3;5;2;2;4;2;3;2;2;4;1;4;1;1,02212682455538
779;604;2;1;3;20;1;69;5;2;2;2;2;1;2;17;99;99;99;1;2;3;2;1;1;3;2;1;1;3;2;3;7;6;2;4;5;1;8;2;9;6;0;0;2;2;2;2;1;1;6;11;8;7;12;12;2;2;1;9;8;9;6;8;4;8;7;8;5;3;3;3;4;2;7;5;4;1;4;1;,51556025615562
780;25;2;2;3;20;2;32;1;2;3;2;2;1;7;2;1;7;2;1;2;3;1;2;2;1;3;2;2;1;2;1;7;2;10;4;3;10;8;0;6;5;3;0;2;1;1;1;1;1;7;12;12;12;12;12;3;2;2;7;6;6;5;7;6;8;4;6;5;3;2;1;4;2;6;2;4;2;2;4;,684568676480529
781;350;2;1;3;44;1;45;1;2;3;3;3;6;8;13;99;99;99;2;2;3;2;2;2;3;3;2;3;14;5;9;7;6;10;9;9;9;4;6;6;7;0;0;2;2;2;1;1;1;6;6;6;12;12;12;3;3;2;4;5;6;2;6;99;99;99;3;0;3;2;3;5;2;7;5;4;1;4;1;1,87607329914896
782;44;2;1;3;999;1;82;5;2;3;2;2;2;5;4;99;99;99;2;2;3;3;1;1;2;3;1;1;1;3;1;6;7;2;5;10;10;6;5;5;3;1;0;2;2;2;2;1;2;6;5;5;3;12;2;2;2;2;7;6;7;5;5;99;99;99;5;6;3;2;3;4;1;2;2;4;1;4;1;,543280918963283
783;875;2;1;2;80;2;74;5;2;3;2;2;6;99;99;99;99;99;2;2;3;2;2;2;3;3;1;1;2;3;1;6;7;10;1;10;10;7;5;6;6;0;0;2;2;2;2;1;1;6;8;4;2;12;12;2;2;1;7;6;8;6;7;16;5;99;6;8;2;2;1;3;3;7;2;4;2;4;1;,684568676480529
784;604;2;1;3;54;2;74;5;2;2;1;3;2;7;99;99;99;99;1;2;3;2;1;1;3;1;1;1;3;1;3;7;6;2;1;10;10;8;5;10;2;0;0;2;2;2;1;2;1;8;6;7;12;6;12;2;2;2;6;7;8;6;6;98;9;99;8;0;5;3;4;2;2;1;5;4;2;4;1;,969973266311079
785;349;2;1;3;44;2;84;5;3;4;3;3;2;4;99;32;6;98;2;2;3;2;2;2;2;2;1;1;6;1;6;2;7;4;1;10;10;4;0;0;0;9;2;1;1;1;2;1;1;12;12;12;7;12;12;4;3;3;4;2;0;2;5;98;16;13;5;0;4;3;4;4;2;1;2;4;2;4;1;1,60316627844524
786;319;2;2;3;999;2;25;2;2;3;2;4;2;2;99;99;99;99;4;4;1;3;2;3;1;4;3;4;14;5;9;7;6;10;3;10;10;6;7;8;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;3;2;3;6;9;6;9;5;99;99;99;4;6;2;1;2;3;3;6;2;4;2;2;4;2,36397224815043
787;319;2;1;3;96;2;44;1;2;4;2;3;2;1;6;10;23;8;1;2;3;2;1;2;2;3;1;2;2;3;2;6;7;10;1;10;10;3;5;4;6;0;0;2;2;2;1;1;1;4;4;3;12;12;12;3;2;2;4;4;3;1;1;1;8;10;4;7;1;2;1;5;2;7;2;4;2;4;1;,944762393591992
788;366;2;2;3;999;2;63;5;2;3;2;2;5;2;8;99;99;99;1;1;3;1;1;2;2;1;1;1;3;1;3;4;2;7;1;10;10;10;5;0;0;0;0;2;2;1;2;1;1;9;5;12;0;12;12;2;2;2;8;8;8;6;8;99;99;99;5;10;1;2;3;5;1;2;7;1;2;2;4;,51556025615562
789;525;2;1;3;54;2;78;5;2;3;2;2;2;8;5;31;99;99;5;2;3;3;1;2;3;3;1;1;3;1;3;7;10;10;1;10;10;6;4;10;0;0;0;2;1;2;1;1;1;8;12;7;12;12;12;2;2;2;8;7;9;6;8;9;13;99;8;6;3;2;4;4;1;1;5;4;1;4;1;,969973266311079
790;25;2;2;3;43;2;55;1;2;3;3;4;18;1;7;1;9;13;5;3;3;2;1;2;4;3;1;1;3;2;3;7;2;10;4;1;10;7;0;9;5;6;0;1;1;1;2;1;1;12;12;12;11;12;12;6;2;2;7;6;11;11;4;8;13;99;4;6;3;3;3;4;3;7;2;4;2;2;4;,51556025615562
791;604;2;2;3;54;1;45;1;2;3;2;2;5;1;2;2;99;99;2;2;3;2;1;2;1;3;2;2;1;1;1;7;6;5;2;10;10;10;7;4;0;0;0;2;1;1;2;1;1;11;12;12;6;12;12;2;2;2;6;6;8;3;5;8;9;13;5;5;3;2;3;4;1;6;2;4;1;2;4;,543280918963283
792;319;2;2;3;13;1;56;1;3;4;3;3;1;9;13;1;2;6;3;3;1;3;2;3;2;3;1;1;3;3;3;7;10;10;2;10;10;5;6;8;2;5;3;2;1;2;1;1;2;7;12;7;12;12;7;4;2;3;6;7;7;6;7;4;99;99;3;7;3;3;5;3;3;2;7;1;1;2;4;,969973266311079
793;47;2;1;3;20;2;55;6;3;4;2;3;4;1;2;99;99;99;5;5;2;2;3;2;2;3;1;1;13;5;15;3;4;2;1;10;10;5;0;5;5;5;5;2;1;1;1;1;1;5;12;12;12;12;12;3;1;3;5;3;5;3;5;99;99;99;5;0;5;3;4;4;2;1;4;4;2;4;1;1,60316627844524
794;44;2;1;3;82;2;52;1;2;3;2;3;2;1;98;6;13;99;2;2;3;2;2;2;3;1;1;1;1;2;1;2;7;6;3;10;10;8;0;7;6;1;0;2;1;1;1;1;1;6;12;12;12;12;12;2;2;1;8;9;9;7;8;6;1;9;7;3;3;3;3;5;3;2;2;4;2;4;1;,543280918963283
795;350;2;1;3;13;1;58;1;2;4;2;2;5;6;99;1;99;99;2;2;3;2;2;2;2;2;1;1;3;1;3;7;6;4;1;5;10;7;4;9;7;4;2;2;1;1;2;1;2;7;12;12;7;12;7;2;2;2;8;8;8;7;7;1;7;99;5;2;3;3;5;3;2;7;2;4;1;4;1;,969973266311079
