elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
1651;648;2;2;3;13;2;48;1;2;3;2;2;1;2;99;99;99;99;2;2;3;2;2;2;3;3;1;1;12;5;8;7;10;10;9;9;9;5;5;5;5;2;0;2;2;2;2;1;1;6;5;5;2;12;12;2;2;1;7;5;8;4;5;6;8;99;4;5;3;2;4;5;3;2;2;4;2;2;4;1,11377867765627
1652;509;2;2;3;44;1;39;1;2;3;2;2;1;9;9;9;9;99;2;2;2;2;1;2;1;2;1;1;12;5;3;7;2;10;3;6;1;5;0;5;4;3;0;2;2;2;2;1;1;6;2;4;2;12;12;2;3;3;6;5;7;1;3;99;99;99;4;0;4;3;4;4;2;7;5;4;1;2;4;,969973266311079
1653;148;2;1;3;20;1;61;1;2;3;2;2;31;1;14;9;99;99;2;1;3;2;2;2;3;2;1;1;1;1;1;7;2;4;8;8;8;6;3;3;2;0;0;2;2;2;2;1;1;6;4;2;3;12;12;3;2;2;5;6;4;3;4;16;6;8;6;10;1;2;5;5;2;2;2;4;1;4;1;1,02212682455538
1654;463;2;1;3;20;2;62;6;3;2;2;2;1;5;14;31;7;7;4;4;1;3;2;1;3;4;2;3;14;5;1;7;6;10;2;3;1;6;1;6;0;0;0;2;1;1;1;1;1;11;12;12;12;12;12;3;2;3;5;6;5;6;6;7;8;99;5;5;3;2;5;4;3;6;2;4;2;4;1;1,02212682455538
1655;650;2;2;3;20;2;32;1;2;3;2;3;1;30;10;10;1;99;2;2;2;2;3;3;3;1;1;1;12;5;2;6;7;10;5;3;4;5;8;5;8;0;0;2;1;1;1;1;1;6;12;12;12;12;12;3;2;2;7;6;7;4;6;30;6;7;8;7;2;2;2;4;2;6;2;4;2;2;4;,944762393591992
1656;820;2;2;3;84;2;66;1;2;3;2;3;8;10;99;1;99;99;2;2;2;3;3;2;2;4;2;4;14;5;9;7;6;10;3;5;10;3;2;5;5;1;0;2;1;1;1;1;1;5;12;12;12;12;12;3;2;3;6;5;5;7;6;99;99;99;4;5;3;2;4;3;3;6;2;4;2;1;4;3,52963775637748
1657;717;2;1;3;11;1;77;5;2;2;2;2;2;1;10;1;6;99;1;1;1;3;1;2;3;3;1;1;3;1;1;7;10;10;2;10;10;8;7;10;0;10;0;2;2;1;1;1;2;8;8;12;12;12;7;2;1;2;8;8;8;8;8;1;99;99;1;5;3;3;5;1;2;2;5;4;1;4;1;1,02212682455538
1658;507;2;2;3;45;2;51;5;2;3;2;2;2;99;99;99;99;99;5;5;3;2;1;5;3;2;1;1;3;1;3;7;2;10;1;10;10;4;2;9;5;2;0;2;2;2;1;1;1;8;8;9;12;12;12;2;1;1;5;6;5;2;6;99;99;99;3;0;3;3;5;5;2;1;5;4;2;1;4;,969973266311079
1659;190;2;2;3;13;2;46;3;2;4;2;3;2;2;19;1;2;99;2;2;2;2;2;1;3;4;2;3;14;5;3;7;6;2;3;10;10;5;0;5;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;3;2;3;3;3;5;3;3;99;99;99;5;0;3;3;5;2;3;6;2;4;2;1;4;,969973266311079
1660;333;2;2;3;999;2;53;1;4;4;2;4;6;98;99;9;99;99;2;2;3;3;3;2;1;4;3;4;14;5;9;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;3;7;9;0;6;8;99;99;99;11;0;3;3;3;2;3;2;2;4;2;1;4;1,87607329914896
1661;109;2;2;3;82;2;25;1;2;4;2;3;2;1;19;2;1;2;2;3;2;2;1;1;2;4;2;2;10;5;9;7;10;10;2;10;10;3;6;4;1;2;0;1;1;1;1;1;1;12;12;12;12;12;12;3;2;2;4;4;5;8;7;11;98;99;1;5;2;1;2;3;3;2;2;4;2;1;4;2,36397224815043
1662;353;2;2;3;13;2;59;1;3;4;4;4;18;98;98;6;99;99;2;3;3;2;2;3;3;4;2;3;14;5;11;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;6;3;4;0;0;0;0;0;99;99;99;0;0;6;4;3;2;3;8;2;4;2;1;4;1,87607329914896
1663;360;2;2;3;82;2;46;1;2;4;2;2;13;8;1;13;8;1;2;2;3;3;1;2;3;2;1;1;1;1;1;7;6;10;4;2;10;7;5;6;6;0;0;2;1;1;1;1;1;7;12;12;12;12;12;2;2;2;8;6;8;6;6;16;99;99;3;4;2;2;3;3;3;7;2;4;2;2;4;,543280918963283
1664;71;2;1;3;20;1;21;4;2;3;2;2;31;13;7;13;99;99;2;2;3;1;2;2;2;2;1;1;1;1;1;6;7;10;2;10;10;9;7;5;6;0;0;2;2;2;2;1;1;8;6;4;0;12;12;2;2;2;7;7;7;6;7;98;6;1;3;9;1;1;1;2;2;6;2;4;1;4;1;,684568676480529
1665;351;2;2;3;20;2;25;2;2;3;3;4;2;2;1;2;2;2;2;2;1;1;1;2;1;1;1;1;3;1;3;7;2;6;1;10;10;5;0;10;0;0;0;2;1;2;1;2;2;7;12;10;12;6;8;2;2;2;8;9;9;8;10;99;99;99;3;2;3;3;1;2;3;6;7;1;2;2;4;,649638869842709
1666;9;2;2;3;84;1;33;1;2;2;1;2;7;2;30;7;2;30;2;2;3;3;3;2;2;2;1;1;2;1;2;1;6;7;4;10;10;0;10;5;5;0;0;2;2;1;1;2;1;5;7;12;12;6;12;3;2;2;7;5;7;3;6;6;2;7;3;8;1;1;2;2;3;6;2;4;1;1;4;,944762393591992
1667;355;2;2;3;84;1;53;1;2;3;2;3;99;99;99;99;99;99;1;1;3;1;4;1;3;3;1;1;1;3;3;7;2;4;3;5;10;8;5;9;6;1;2;2;2;1;1;1;2;10;9;12;12;12;8;2;2;1;8;7;6;8;8;99;99;99;11;5;1;2;5;3;2;8;2;4;1;2;4;,969973266311079
1668;352;2;2;3;20;2;41;1;3;4;2;3;5;1;8;8;5;1;2;2;3;2;3;3;2;3;2;2;12;5;9;2;4;10;6;7;10;5;0;4;3;6;9;2;1;1;1;1;1;7;12;12;12;12;12;2;2;2;7;4;6;5;7;9;13;1;7;0;4;3;4;4;2;2;5;4;2;2;4;3,52963775637748
1669;648;2;2;3;78;2;54;1;2;3;3;3;1;7;5;1;7;2;2;2;3;2;3;3;3;2;1;1;10;5;10;7;6;10;1;2;10;5;5;4;4;11;0;2;2;2;2;2;2;6;6;3;0;4;0;3;2;2;6;5;6;4;4;13;8;30;2;8;1;2;3;2;3;2;2;4;2;1;4;,591995718126295
1670;30;2;2;3;82;2;46;1;3;4;2;3;2;5;10;23;10;6;2;2;3;2;3;2;2;3;2;2;1;2;1;4;7;10;8;8;8;8;4;4;6;4;4;2;1;1;1;1;1;7;12;12;12;12;12;3;3;3;6;6;6;5;6;98;99;99;5;6;3;3;3;3;2;2;2;4;2;1;4;,543280918963283
1671;50;2;2;3;44;1;43;2;4;4;3;4;4;5;6;6;1;7;3;2;3;2;2;3;1;1;2;1;7;2;7;1;3;2;6;10;10;1;0;1;0;5;6;1;1;1;1;1;1;12;12;12;12;12;12;5;3;3;2;1;1;0;0;16;10;9;7;0;3;3;4;3;2;6;2;4;1;2;4;1,60316627844524
1672;360;2;2;3;27;2;43;1;3;3;2;2;8;13;2;8;13;6;1;2;3;2;2;3;3;2;1;1;2;1;2;6;7;10;4;10;10;5;10;5;7;0;0;2;2;1;1;2;1;6;7;12;12;5;12;3;3;1;5;5;8;3;3;6;99;99;3;8;2;2;3;2;3;2;3;4;2;2;4;,749773396047587
1673;650;2;2;2;999;1;44;1;4;4;4;4;4;2;99;6;99;99;3;3;2;5;2;3;4;1;2;3;14;5;15;1;3;6;2;10;10;0;1;1;0;0;0;2;2;2;1;1;1;11;5;11;12;12;12;3;3;1;1;0;1;0;0;98;6;99;2;9;1;1;1;3;4;6;2;4;1;2;4;2,36397224815043
1674;281;2;1;3;96;2;56;1;2;4;2;3;1;2;5;9;14;99;2;2;3;3;1;4;2;2;1;1;1;2;1;7;10;10;2;3;10;9;7;6;6;5;0;2;2;2;1;2;2;8;8;6;12;6;0;3;2;2;8;9;9;6;6;99;99;99;4;10;2;1;3;5;2;2;2;4;2;4;1;,543280918963283
1675;937;2;2;3;13;2;68;5;2;2;2;2;4;5;8;6;1;8;2;3;2;3;2;2;3;2;2;1;3;2;3;7;6;2;9;9;9;5;5;9;7;0;0;2;1;1;1;1;1;7;12;12;12;12;12;3;2;2;7;5;7;5;5;2;4;99;5;6;3;1;4;2;3;2;2;4;2;2;4;,969973266311079
1676;911;2;1;3;20;2;74;5;4;4;2;2;10;10;18;99;99;99;2;2;3;3;1;2;1;4;3;2;1;3;9;7;10;10;3;10;10;7;0;6;5;0;0;2;2;2;2;1;1;6;5;11;5;12;12;3;2;2;7;7;8;6;8;99;99;99;5;5;3;3;4;2;2;6;5;4;2;4;1;3,52963775637748
1677;846;2;1;3;44;1;63;1;2;3;2;2;99;99;99;99;99;99;4;2;3;3;2;1;3;1;2;5;14;5;12;7;2;6;9;9;9;7;0;7;6;0;0;2;1;1;1;1;1;10;12;12;12;12;12;2;2;1;8;7;9;7;7;12;99;99;4;7;6;2;4;4;2;2;7;2;1;4;1;3,52963775637748
1678;820;2;1;3;20;1;75;5;2;3;2;2;99;99;99;9;9;99;1;1;3;3;1;1;2;3;1;1;1;2;5;6;7;10;5;2;10;7;9;5;8;0;0;2;2;1;2;1;1;7;7;12;3;12;12;2;2;1;6;4;7;6;2;8;98;9;4;3;3;2;4;4;3;2;5;4;1;4;1;2,16961836349536
1679;507;2;2;3;82;2;32;2;2;2;2;2;2;8;6;2;6;99;3;2;2;3;1;1;2;4;4;2;12;5;12;7;10;10;3;10;10;6;6;6;5;6;2;1;1;1;1;1;1;12;12;12;12;12;12;3;2;3;8;8;6;8;7;98;9;8;5;5;3;4;4;5;3;1;7;1;2;2;4;3,52963775637748
1680;608;2;2;3;20;1;60;1;2;4;1;3;7;2;1;9;99;99;2;2;3;1;2;2;2;2;1;1;1;1;1;2;4;10;6;10;10;8;1;3;2;8;6;2;2;1;1;1;2;7;7;12;12;12;7;3;2;2;7;6;8;7;7;9;2;1;8;8;3;3;4;2;2;2;5;4;1;1;4;1,02212682455538
1681;847;2;2;3;13;2;51;1;2;4;2;3;2;5;17;7;99;99;1;3;2;2;3;1;3;3;1;1;2;1;2;7;6;3;1;10;10;5;10;4;0;0;0;2;2;1;2;1;1;2;6;12;5;12;12;3;2;2;6;1;6;0;0;99;99;99;1;6;2;1;1;3;3;2;2;4;2;2;4;,944762393591992
1682;190;2;2;3;11;1;64;5;1;4;1;2;1;2;99;6;9;99;1;2;2;2;2;2;2;2;1;1;1;1;1;8;8;8;8;8;8;10;0;0;0;0;0;2;2;2;2;2;2;10;2;0;0;0;0;1;1;1;10;10;9;8;10;2;1;6;5;10;2;2;4;2;2;6;2;4;1;2;4;1,02212682455538
1683;109;2;2;3;2;2;66;3;4;4;3;4;5;2;99;6;99;99;1;2;2;3;2;2;1;3;2;4;14;5;1;5;4;2;7;1;10;5;0;0;0;5;8;2;1;2;1;1;1;5;12;0;12;12;12;3;3;3;0;0;0;0;0;99;99;99;5;0;5;3;4;2;2;6;5;4;2;2;4;1,02212682455538
1684;353;2;2;3;902;1;32;1;2;3;2;3;11;2;10;10;10;99;2;2;2;2;1;3;3;3;1;1;2;1;2;6;7;10;1;10;10;5;8;5;5;0;0;1;2;1;1;1;1;12;5;12;12;12;12;2;3;3;4;1;4;4;2;25;25;99;4;5;3;2;2;2;3;6;2;4;1;2;4;,944762393591992
1685;71;2;2;3;13;2;49;6;3;4;3;4;5;1;8;99;99;99;1;2;2;4;4;2;2;4;3;4;14;5;9;10;10;10;2;10;10;6;7;5;5;1;2;1;1;1;1;1;1;12;12;12;12;12;12;3;2;3;5;6;5;4;5;99;99;99;5;5;3;2;4;2;3;7;2;4;2;2;4;3,52963775637748
1686;348;2;2;3;15;1;52;1;2;4;2;3;8;1;2;31;6;32;2;2;3;2;2;2;1;1;1;1;1;1;1;7;2;3;6;10;10;9;0;0;0;5;0;2;2;2;2;1;1;8;0;0;1;12;12;2;2;1;9;7;7;6;7;8;1;16;6;10;2;1;3;5;1;7;2;4;1;2;4;,543280918963283
1687;648;2;2;3;13;1;47;1;2;3;2;2;8;2;7;8;2;6;2;2;3;3;2;2;4;2;2;2;12;5;9;7;6;2;1;3;5;6;2;6;5;1;0;2;1;2;2;1;1;6;12;5;3;12;12;2;2;2;5;11;6;5;5;8;1;6;4;6;3;3;3;3;3;4;2;4;1;1;4;1,87607329914896
1688;463;2;1;3;20;1;56;1;3;4;3;3;7;2;8;8;13;7;3;2;3;2;2;3;2;4;3;4;14;5;9;5;7;2;1;3;6;4;1;3;2;3;1;2;2;2;2;2;2;3;3;3;2;2;3;4;3;2;5;3;5;1;3;35;6;35;11;11;6;4;3;4;2;1;5;4;1;4;1;1,87607329914896
1689;19;2;1;3;54;1;56;5;3;4;3;4;1;14;21;14;1;6;3;3;2;4;2;3;2;1;1;1;2;1;2;6;7;3;4;10;10;0;10;0;0;0;0;2;2;2;2;1;2;0;10;0;0;12;0;3;3;4;2;0;2;0;0;35;99;99;2;10;1;1;3;2;3;2;2;4;1;4;1;,749773396047587
1690;390;2;1;3;85;1;74;5;2;3;2;2;1;8;99;5;99;99;2;2;3;3;1;2;3;2;1;1;2;1;2;7;6;10;4;10;10;5;8;5;5;0;0;2;2;2;2;1;1;7;7;4;0;12;12;3;2;2;7;7;7;4;5;8;9;1;3;7;1;2;2;5;2;6;2;4;1;4;3;,944762393591992
1691;709;2;2;3;20;2;72;5;2;4;2;3;7;1;8;7;8;1;2;2;3;3;2;2;2;3;2;2;3;2;9;7;6;2;5;1;10;5;0;8;7;0;0;2;2;2;1;1;2;7;6;6;12;12;7;3;3;2;5;6;4;3;2;8;99;99;2;0;5;3;4;5;3;2;5;4;2;1;4;3,52963775637748
1692;360;2;2;3;54;2;56;1;2;4;2;2;1;8;99;1;8;99;2;2;3;2;2;2;2;3;2;2;1;2;1;7;6;3;2;10;10;9;7;5;5;0;0;2;2;2;1;2;2;7;6;11;12;11;11;2;2;2;7;5;7;0;5;8;9;99;5;8;2;2;3;4;2;2;2;4;2;1;4;,543280918963283
1693;9;2;2;3;20;2;29;2;2;3;2;3;1;13;98;2;8;13;2;3;3;2;1;2;3;3;1;1;2;3;2;7;6;1;5;10;10;4;8;1;7;0;0;2;2;1;2;1;1;4;4;12;0;12;12;3;3;3;3;3;1;3;3;9;98;8;2;5;1;2;1;5;1;6;1;4;2;2;4;,944762393591992
1694;71;2;1;3;20;2;62;3;5;4;2;2;21;99;99;6;1;99;3;4;1;3;2;4;2;3;1;1;8;4;2;6;7;10;2;10;10;4;7;4;5;0;0;2;1;1;1;1;1;7;12;12;12;12;12;3;4;3;5;5;5;5;5;99;99;99;3;11;6;3;5;2;3;6;2;4;2;4;1;1,41062105015695
1695;937;2;2;3;84;2;64;1;3;4;2;4;5;8;2;5;7;99;2;2;3;4;3;3;3;3;1;1;12;5;3;7;2;6;1;3;10;4;2;4;3;0;0;2;1;1;1;1;1;5;12;12;12;12;12;3;1;1;5;6;7;4;4;99;99;99;5;5;3;3;4;2;3;4;2;4;2;2;4;,969973266311079
1696;334;2;1;3;13;2;83;5;2;3;2;2;1;2;99;10;99;99;2;2;3;3;2;2;3;2;1;1;13;5;15;6;7;10;1;3;10;9;5;8;5;0;0;2;1;2;1;1;1;8;12;7;12;12;12;2;1;2;8;8;8;7;8;16;8;13;6;7;2;3;4;2;3;1;2;4;2;4;1;1,02212682455538
1697;190;2;2;3;54;1;33;6;1;4;2;4;15;6;5;29;99;99;2;2;3;1;1;2;1;1;1;1;1;3;1;4;5;10;6;2;10;5;2;0;0;3;1;2;1;1;1;2;1;4;12;12;12;4;12;4;3;3;7;4;7;5;4;35;99;99;7;6;3;2;2;5;3;7;2;4;1;1;4;,684568676480529
1698;847;2;2;3;83;2;76;3;1;4;1;4;5;2;7;2;7;9;2;1;3;3;2;2;3;4;1;1;3;2;3;6;7;10;1;2;10;6;6;10;5;0;0;2;1;1;1;1;1;0;12;12;12;12;12;2;2;2;5;0;5;0;2;8;98;99;5;3;2;3;4;1;3;2;5;4;2;2;4;,969973266311079
1699;717;2;1;3;902;2;77;5;2;4;2;2;7;8;2;98;8;10;3;2;3;3;1;3;3;4;1;1;13;5;1;6;10;10;2;10;10;9;6;7;4;0;0;2;1;1;1;1;1;8;12;12;12;12;12;3;1;2;11;9;8;8;8;99;99;99;11;7;3;4;5;2;3;1;5;4;2;4;1;1,02212682455538
1700;820;2;1;3;20;1;71;5;2;3;2;2;1;8;98;8;1;6;2;1;3;2;2;2;2;2;1;1;12;5;3;7;2;10;3;1;6;5;2;6;3;4;2;2;2;2;2;1;2;6;4;5;4;12;2;2;2;2;6;6;6;4;6;8;35;35;4;5;3;2;4;5;1;2;2;4;1;4;1;,969973266311079
1701;650;2;2;1;999;2;28;1;2;3;3;3;1;2;16;2;16;99;3;3;2;1;2;2;3;2;1;1;2;1;2;7;6;1;5;10;10;2;9;2;8;0;0;2;2;1;1;1;1;3;11;12;12;12;12;3;2;2;7;4;7;5;4;99;99;99;2;9;1;1;1;4;3;7;2;4;2;2;4;,944762393591992
1702;358;2;2;3;901;2;50;1;3;4;2;3;8;13;1;8;13;5;1;1;3;3;2;2;4;2;1;1;12;5;1;5;4;6;2;7;1;5;4;4;0;0;4;2;2;2;1;1;1;4;4;5;12;12;12;4;3;3;5;3;5;4;4;98;6;99;5;6;3;3;3;5;1;2;2;4;2;1;4;,543280918963283
1703;356;2;2;3;902;1;38;1;2;3;2;2;2;2;99;2;99;99;2;2;3;1;1;1;3;4;1;1;3;2;14;7;6;10;4;2;5;6;8;6;8;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;1;8;7;5;6;8;99;99;99;3;0;3;2;4;4;3;6;2;4;1;2;4;2,16961836349536
1704;608;2;2;3;20;2;20;4;3;3;3;3;1;7;8;8;7;1;5;2;3;1;2;3;2;3;2;2;1;2;9;4;2;5;6;10;10;8;3;5;0;8;6;1;1;1;1;1;1;12;12;12;12;12;12;3;3;1;5;6;6;7;5;6;8;1;7;5;3;3;1;4;3;2;2;4;2;1;4;2,36397224815043
1705;648;2;1;3;44;2;55;1;2;3;3;3;1;2;8;8;6;99;2;2;3;2;3;3;2;4;2;6;12;5;9;2;7;10;9;9;9;4;4;4;4;4;4;2;1;2;1;1;1;5;12;5;12;12;12;3;2;2;5;5;5;4;4;99;99;99;5;5;2;3;5;2;3;2;2;4;2;4;1;3,52963775637748
1706;71;2;1;3;20;1;22;4;2;3;2;3;99;99;99;99;99;99;5;1;3;1;1;2;3;3;1;1;1;3;1;7;2;10;6;10;10;8;0;8;5;6;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;6;7;7;5;7;99;99;99;5;5;3;3;2;5;1;2;2;4;1;4;1;,684568676480529
1707;50;2;1;3;54;2;29;1;2;4;3;4;2;7;99;2;98;99;3;3;2;1;2;3;2;4;3;4;14;5;9;7;6;2;10;10;10;0;0;0;0;0;0;2;1;1;1;1;1;5;12;12;12;12;12;2;3;3;2;2;2;0;0;99;99;99;5;0;3;3;2;4;2;2;2;4;1;4;1;2,36397224815043
1708;846;2;1;3;36;2;43;5;3;4;3;3;6;4;10;99;99;99;5;2;3;3;1;1;2;4;2;2;12;5;9;6;3;10;10;10;10;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;4;4;3;2;2;2;2;2;99;99;99;4;0;1;2;2;4;2;8;2;4;2;4;1;2,36397224815043
1709;390;2;2;3;46;2;40;6;2;3;2;2;1;8;13;23;8;2;3;3;3;2;1;3;3;3;1;1;2;1;2;6;7;10;4;10;10;5;6;4;11;0;0;2;2;2;2;1;1;5;7;5;0;12;12;3;2;3;6;4;5;5;4;9;10;99;2;10;1;1;1;4;2;2;2;4;2;2;4;,944762393591992
1710;507;2;1;3;20;2;77;3;2;4;2;3;1;7;99;10;99;99;1;2;3;2;2;2;3;3;1;1;1;2;1;7;2;4;3;6;10;9;4;7;5;7;0;2;1;2;2;1;1;8;12;7;7;12;12;2;2;2;7;8;8;7;7;16;99;99;7;5;3;3;4;3;3;2;2;4;2;4;1;1,02212682455538
1711;463;2;1;3;20;1;63;5;2;2;2;2;1;99;99;1;99;99;2;2;3;3;1;2;1;3;2;2;3;2;3;7;10;10;1;2;10;7;8;9;8;5;0;2;1;2;1;1;1;8;12;7;12;12;12;2;2;2;8;8;8;6;8;2;1;6;3;2;3;2;4;4;2;6;2;4;1;4;1;,969973266311079
1712;353;2;2;3;54;1;81;5;1;4;1;2;1;2;8;31;99;99;1;2;3;1;1;1;3;2;1;1;1;1;1;7;6;10;3;2;10;10;6;6;5;4;0;2;2;2;1;1;1;10;8;9;12;12;12;1;1;1;10;10;9;9;9;6;8;13;5;9;2;1;4;3;2;2;2;4;1;1;4;1,02212682455538
1713;355;2;2;3;20;1;64;1;2;4;2;5;2;1;7;7;99;99;1;1;3;2;3;2;3;1;1;1;1;2;1;8;8;8;8;8;8;8;6;0;0;0;0;2;2;2;2;1;1;6;4;2;0;12;12;3;2;3;5;7;5;4;5;7;8;13;5;10;1;1;1;5;2;7;2;4;1;2;4;,684568676480529
1714;9;2;2;3;84;2;47;1;2;3;2;2;1;6;8;1;6;2;2;2;3;2;2;2;4;2;1;1;12;5;15;7;6;10;4;2;10;6;7;6;6;0;0;2;2;2;2;1;1;7;7;6;0;12;12;2;3;3;6;6;8;5;6;99;99;99;3;5;2;2;4;5;3;6;2;4;2;2;4;1,41062105015695
1715;648;2;2;3;13;2;57;1;2;3;3;3;1;2;7;1;2;7;3;2;3;2;3;2;3;2;1;1;1;3;1;7;6;10;2;10;10;7;7;3;5;0;0;2;2;2;2;1;1;5;5;4;1;12;12;3;2;1;5;5;6;3;5;99;99;99;2;7;2;2;4;3;3;7;2;4;2;1;4;1,02212682455538
1716;281;2;1;3;901;2;71;5;2;2;2;3;1;10;99;99;99;99;2;2;3;3;1;1;1;4;1;1;1;1;3;7;2;10;5;10;10;7;1;6;5;2;0;1;1;1;1;1;1;12;12;12;12;12;12;3;1;3;8;6;8;11;7;99;99;99;5;5;4;3;5;2;3;1;5;4;2;4;1;,969973266311079
1717;360;2;2;3;36;2;41;1;2;4;2;2;1;8;99;34;99;99;1;1;3;2;2;1;3;2;1;1;2;2;2;6;7;10;1;5;4;7;9;5;7;0;0;2;2;2;1;1;1;7;7;5;12;12;12;2;2;2;8;7;8;5;7;98;5;8;3;7;2;1;3;4;2;6;7;1;2;2;4;,749773396047587
1718;50;2;1;3;89;2;68;5;2;3;2;2;1;2;10;11;10;8;2;2;3;2;2;2;3;2;1;1;12;5;1;7;6;5;3;10;10;7;4;8;2;0;0;2;1;2;2;1;1;7;12;7;0;12;12;3;2;2;5;6;5;4;5;7;1;4;2;5;2;3;4;4;3;2;2;4;2;4;1;1,02212682455538
1719;911;2;2;3;999;1;73;5;1;4;2;2;1;99;99;99;99;99;2;2;3;1;1;1;2;2;2;2;2;1;2;7;6;10;1;5;4;7;10;6;7;1;0;2;2;2;2;1;2;7;8;5;1;12;0;1;2;1;7;8;8;7;7;11;99;99;1;9;1;1;4;4;3;6;2;4;1;1;4;1,41062105015695
1720;608;2;1;3;20;1;80;5;2;4;2;2;4;8;13;4;99;99;2;2;3;3;2;2;3;1;1;1;2;1;2;7;6;3;4;10;10;5;10;2;5;0;0;2;2;2;2;2;2;5;10;3;0;5;0;3;3;2;5;6;6;3;5;98;98;25;2;10;1;1;2;5;2;4;4;4;1;4;1;,944762393591992
1721;717;2;1;3;78;2;71;5;2;2;2;2;1;99;99;26;99;99;2;2;3;2;1;2;3;3;1;1;12;5;1;6;7;10;1;10;10;9;7;9;5;0;0;2;1;1;1;1;1;10;12;12;12;12;12;2;1;2;10;10;10;10;9;25;99;99;9;9;2;3;4;2;3;2;5;4;2;4;1;1,02212682455538
1722;16;2;2;3;43;1;75;5;2;3;2;2;1;99;99;6;14;99;3;3;1;3;2;1;3;1;1;1;3;1;3;7;10;10;1;5;10;8;5;10;8;0;0;2;1;2;1;2;2;8;12;5;12;6;7;2;2;1;8;8;8;6;8;4;98;99;5;5;3;3;4;4;3;1;7;1;1;2;4;,969973266311079
1723;820;2;1;3;44;1;77;5;2;3;2;2;1;14;6;99;99;99;3;2;3;3;2;2;2;2;1;1;1;1;1;7;6;10;8;8;8;10;5;5;5;2;0;2;2;2;2;1;2;6;4;5;3;12;6;1;2;1;8;8;7;8;8;1;11;2;0;8;1;2;4;2;3;1;2;4;1;4;1;1,02212682455538
1724;71;2;2;3;20;2;36;1;2;3;2;2;1;7;99;7;6;99;2;2;3;1;2;2;3;2;1;1;1;2;1;7;6;10;2;10;10;8;6;5;5;0;0;2;1;2;2;1;1;7;12;5;0;12;12;2;2;2;7;7;7;6;7;98;4;99;5;7;2;2;3;5;3;6;2;4;2;2;4;,543280918963283
1725;847;2;2;3;13;2;50;1;3;5;2;3;8;13;2;2;8;13;3;2;3;2;3;2;3;3;1;1;2;2;2;7;6;1;4;5;10;2;7;4;5;0;0;2;1;2;2;2;2;5;12;4;5;5;6;3;2;3;5;4;5;4;4;5;10;99;2;7;3;2;5;2;3;6;2;4;2;2;4;1,41062105015695
1726;463;2;1;3;20;2;59;5;3;4;3;3;5;16;6;6;6;99;1;2;3;4;2;2;3;2;1;6;13;5;10;4;2;6;8;8;8;5;0;5;3;2;0;2;1;1;2;1;1;2;12;12;3;12;12;3;2;3;6;7;7;0;3;16;4;4;2;0;3;2;4;4;2;2;2;4;2;4;1;1,11377867765627
1727;390;2;2;3;999;2;39;6;3;4;2;2;1;4;13;8;99;99;2;2;3;1;1;3;2;3;1;1;12;5;2;7;6;3;2;1;10;0;5;0;0;0;0;2;2;1;1;1;1;2;5;12;12;12;12;3;3;3;5;5;5;3;5;98;30;99;0;10;1;1;1;5;2;7;2;4;2;2;4;,944762393591992
1728;846;2;1;3;20;2;69;5;4;3;2;2;8;13;26;22;99;99;5;2;3;4;3;2;3;3;1;1;1;2;1;2;10;10;3;10;10;10;0;5;0;0;0;2;2;2;2;1;1;10;5;5;0;12;12;1;1;3;7;7;10;11;10;8;98;99;5;10;3;3;4;2;3;8;2;4;2;4;1;1,02212682455538
1729;190;2;2;3;11;2;58;1;2;4;2;3;2;8;13;2;6;8;2;3;2;2;1;2;3;3;1;1;1;1;1;7;6;2;3;5;10;10;0;3;3;1;0;2;1;1;1;1;1;9;12;12;12;12;12;1;2;1;10;10;10;9;10;2;8;9;5;9;1;1;3;2;3;2;2;4;2;2;4;,543280918963283
1730;19;2;1;3;902;2;82;5;3;3;2;3;2;11;26;99;99;99;2;1;3;2;2;2;3;3;1;1;3;1;3;2;7;10;1;10;10;5;0;9;11;0;0;2;1;1;1;2;1;6;12;12;12;5;12;3;2;4;5;6;4;6;4;2;99;99;5;0;3;3;5;2;3;1;5;4;2;4;1;,969973266311079
1731;351;2;1;3;20;1;50;1;4;4;3;4;1;7;9;13;1;6;1;2;3;2;2;3;4;2;1;1;7;1;1;4;5;2;6;1;10;7;0;2;1;4;10;2;1;1;1;1;1;5;12;12;12;12;12;3;2;2;9;7;7;0;8;98;99;99;6;0;4;3;5;3;3;2;2;4;1;4;1;1,02212682455538
