elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
81;379;1;2;3;59;2;76;3;9;3;6;4;2;2;0;8;99;99;31;99;99;1;3;1;1;11;11;11;11;10;11;10;10;10;3;3;4;4;4;4;2;2;12;5;1;7;10;10;1;10;10;8;0;5;0;0;0;2;1;1;1;1;1;7;12;12;12;12;12;3;0;3;3;5;2;3;1;4;,394361705720365;3
82;353;1;1;3;999;2;78;3;7;7;6;6;4;4;2;9;9;4;31;99;99;1;2;2;1;6;2;0;0;5;5;10;10;7;2;3;3;2;3;2;1;1;12;5;14;7;6;1;3;2;10;6;6;5;5;3;0;2;2;2;2;2;1;7;7;6;3;5;12;5;7;2;2;4;2;2;2;4;,614790437889106;1
83;406;1;1;3;999;2;55;1;10;9;6;4;5;4;1;6;2;1;6;5;10;1;2;1;2;10;3;5;0;10;10;10;10;10;3;3;2;1;2;2;1;1;12;5;1;7;2;3;1;10;10;7;0;0;0;5;0;2;2;2;2;2;1;6;4;4;4;4;12;5;5;2;3;3;5;1;2;4;,263373205873897;1
84;648;1;2;3;59;1;81;5;3;2;11;11;2;11;3;1;8;99;31;99;99;5;3;1;4;4;11;0;3;5;11;6;6;5;2;4;3;3;2;3;1;1;13;5;15;2;10;10;10;10;10;6;0;0;0;6;4;1;1;1;1;1;1;12;12;12;12;12;12;11;5;4;3;4;2;3;5;4;,949777655579043;3
85;409;1;2;3;999;1;44;1;7;6;7;7;5;6;3;2;1;8;1;99;99;1;2;3;1;4;3;0;2;8;8;10;8;8;2;2;1;3;1;2;1;2;1;3;1;7;10;10;3;4;2;8;6;6;6;5;0;2;2;2;2;2;2;7;6;6;7;7;7;3;8;2;2;4;3;3;2;4;,394361705720365;1
86;438;1;1;3;59;2;88;5;8;6;8;8;8;8;9;1;2;7;19;7;99;2;5;4;2;9;6;7;8;10;10;7;11;9;2;3;2;3;2;3;1;1;1;1;1;7;6;10;2;10;10;10;8;8;5;2;0;2;2;2;2;2;2;0;11;11;5;5;7;3;8;2;3;4;2;2;1;4;,394361705720365;3
87;509;1;1;3;59;1;63;1;8;6;5;4;5;4;2;1;18;28;9;18;2;2;3;2;3;7;0;4;0;7;11;10;8;8;3;3;2;1;1;1;1;1;13;5;15;7;2;4;3;6;1;4;0;4;3;4;0;2;2;2;2;1;1;4;0;4;4;12;12;5;11;3;3;4;2;2;1;4;,394361705720365;3
88;706;1;2;3;59;2;43;3;8;7;8;7;4;4;9;13;99;99;99;99;99;2;1;4;4;5;6;4;7;0;0;5;10;10;1;4;3;3;1;3;5;6;12;5;12;7;6;10;2;10;10;6;8;7;11;5;0;1;1;1;1;1;1;12;12;12;12;12;12;4;11;6;1;4;4;2;7;2;1,69586410136416;3
89;707;1;1;3;2;2;60;1;5;4;4;4;0;0;1;2;1;5;5;99;99;3;3;3;2;4;5;0;0;10;8;10;10;10;2;3;1;1;1;1;1;1;1;1;1;3;7;2;6;10;10;10;0;0;0;5;0;2;2;2;2;2;2;6;0;0;5;0;0;5;8;3;3;1;3;2;1;4;,252399479425255;2
90;406;1;2;3;59;2;70;5;9;9;8;8;1;2;8;5;99;99;99;99;99;2;2;2;2;9;0;5;0;10;8;10;10;7;1;1;3;4;4;4;1;1;13;5;15;5;7;2;8;8;8;11;11;11;11;11;11;2;2;2;2;2;2;0;0;11;11;11;11;11;11;6;4;5;5;4;5;4;,445971136076519;3
91;281;1;2;3;59;1;37;1;9;9;8;8;7;7;6;6;1;28;28;99;99;1;2;1;1;7;7;0;3;8;5;10;10;10;2;2;1;2;1;2;1;1;1;1;1;7;6;3;2;10;10;9;7;0;3;0;0;2;2;2;2;1;2;9;8;0;0;12;0;6;7;1;3;1;4;1;1;4;,252399479425255;3
92;414;1;2;2;999;1;44;1;8;8;5;5;5;5;6;2;28;99;2;99;99;1;2;2;1;5;8;2;6;7;7;8;8;8;3;3;1;1;1;1;2;1;2;1;2;7;6;3;1;5;4;5;8;2;6;0;0;2;2;2;2;2;2;4;8;2;0;4;0;0;10;1;1;2;5;3;1;4;,393478332779262;1
93;438;1;1;3;36;1;78;5;5;5;8;8;2;2;5;2;1;99;22;99;99;2;2;1;1;5;0;0;0;5;11;8;8;10;1;4;3;4;4;4;1;1;2;1;2;7;6;4;3;1;10;8;10;5;0;0;0;2;2;2;2;2;2;7;10;5;0;5;2;2;5;2;1;4;2;1;1;4;,614790437889106;2
94;509;1;2;3;59;2;55;1;5;7;2;1;1;0;2;5;7;10;5;4;6;4;3;1;1;5;4;0;0;10;10;10;10;10;4;4;4;1;1;1;1;1;11;5;11;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;11;3;3;5;2;3;5;4;1,69586410136416;3
95;911;1;1;3;59;1;82;5;8;8;6;6;6;7;7;5;8;99;98;99;99;1;3;1;1;0;5;0;0;10;10;10;10;8;2;3;4;3;4;4;1;1;13;5;15;7;10;10;3;10;10;5;0;8;0;0;0;2;2;1;1;2;2;8;5;12;12;11;11;5;8;5;3;5;2;3;5;4;,445971136076519;3
96;706;1;2;3;59;2;51;1;8;8;8;8;8;8;5;2;15;99;15;8;99;1;2;1;2;9;8;4;6;10;10;7;7;5;2;2;2;2;2;2;1;1;2;1;2;7;6;10;4;10;10;6;10;6;6;0;0;2;2;2;2;1;1;8;8;5;0;12;12;1;9;1;2;3;4;2;2;4;,410585830771016;3
97;509;1;2;3;59;1;43;5;6;6;5;5;4;3;3;8;7;6;8;7;13;3;2;1;1;5;7;3;2;10;10;10;10;10;3;3;1;1;1;1;1;1;5;2;2;7;10;10;3;4;1;5;6;5;8;3;2;2;2;2;2;1;2;5;5;6;3;12;5;3;3;2;2;3;3;2;1;4;,410585830771016;3
98;648;1;2;3;999;1;61;1;7;6;6;6;5;5;4;98;99;99;6;6;6;1;2;2;1;6;3;3;3;8;8;9;8;8;2;3;2;2;2;2;1;1;1;1;1;7;2;6;8;8;8;9;2;4;4;0;0;2;2;2;2;1;2;6;3;4;1;12;2;5;8;2;2;4;4;2;1;4;,394361705720365;1
99;445;1;2;3;999;1;44;1;7;11;6;11;6;11;5;8;4;7;9;99;99;2;3;4;4;8;6;2;2;9;6;10;10;8;2;2;2;1;1;1;1;1;13;5;15;6;7;10;10;10;10;11;11;11;11;11;11;2;2;2;2;1;1;5;5;5;3;12;12;11;11;3;3;3;2;2;1;4;,297840399135974;1
100;509;1;2;3;59;2;75;5;5;5;7;6;7;6;10;8;99;99;6;98;99;2;2;2;2;6;11;0;0;10;10;10;10;9;2;2;3;3;2;1;1;1;12;5;1;6;7;1;3;10;10;7;0;7;0;0;0;2;1;1;1;1;1;7;12;12;12;12;12;5;5;3;3;4;2;3;5;4;,394361705720365;3
101;509;1;2;3;59;1;56;1;6;6;6;6;6;6;7;2;6;99;6;99;99;1;2;1;1;7;5;4;4;8;8;10;10;10;1;1;2;1;1;1;1;1;13;5;15;7;6;10;4;2;10;5;5;5;5;3;0;2;2;2;2;1;2;6;11;11;11;12;11;4;5;3;2;4;2;3;1;4;,445971136076519;3
102;445;1;2;3;999;2;55;1;8;5;7;5;7;3;8;1;2;8;8;6;98;1;2;3;1;6;6;6;6;8;8;10;10;10;2;2;2;2;2;2;1;1;1;2;1;2;7;10;3;10;10;7;4;4;4;4;0;2;2;2;2;1;1;7;11;11;4;12;12;7;4;3;3;3;5;3;5;4;,263373205873897;1
103;604;1;1;3;59;2;56;1;8;8;5;5;4;4;6;1;2;2;2;1;6;2;1;1;2;5;0;0;0;10;10;8;10;10;2;3;3;1;1;3;2;2;12;5;9;4;2;7;1;10;10;6;4;7;6;7;5;1;1;1;1;1;1;12;12;12;12;12;12;5;0;3;3;4;3;1;1;4;1,69586410136416;3
104;574;1;1;3;59;1;60;2;6;5;5;4;6;3;4;5;2;1;2;22;99;2;2;1;2;10;4;4;3;9;9;10;10;10;1;2;3;3;2;2;1;1;1;3;1;7;2;4;6;3;10;5;0;5;1;5;0;2;1;1;2;1;1;7;12;12;7;12;12;6;5;3;3;4;4;2;1;4;,394361705720365;3
