elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
1291;709;2;1;3;999;1;40;1;8;8;6;6;6;6;5;1;8;10;35;99;99;1;2;1;1;6;7;2;2;8;6;6;7;6;3;3;3;3;3;3;2;2;12;5;2;7;6;4;2;1;3;6;7;4;2;0;0;2;1;1;1;1;1;7;12;12;12;12;12;5;5;3;3;3;2;2;2;4;,936410239036902;1
1292;701;2;2;3;44;2;43;1;7;7;5;6;4;4;2;1;8;99;99;99;99;1;2;2;1;6;4;0;0;6;7;8;8;8;3;3;2;2;2;3;1;1;12;5;1;7;6;10;2;1;10;7;8;4;5;0;0;2;2;2;2;1;1;5;6;3;0;12;12;5;10;1;1;2;4;2;2;4;,574370201074409;2
1293;695;2;2;3;17;2;35;1;8;8;7;7;6;6;4;1;8;16;8;1;99;2;2;2;1;8;8;5;5;8;8;9;8;8;2;2;2;2;2;2;1;1;12;5;8;6;7;10;2;1;4;7;7;6;7;2;0;2;2;2;2;2;2;8;6;5;4;6;1;3;7;2;2;2;5;2;2;4;,506117516704392;2
1294;700;2;1;3;20;1;76;5;5;3;5;3;5;3;6;8;13;7;7;8;99;3;2;3;3;5;2;9;2;5;5;10;10;5;3;3;2;1;3;1;1;1;13;5;15;4;5;2;6;7;1;5;0;0;0;6;8;2;1;1;2;1;2;5;12;12;11;12;8;8;0;3;3;4;3;2;2;4;1,00865327155689;3
1295;702;2;1;3;82;2;51;3;5;11;6;11;6;11;5;7;2;13;6;7;8;2;2;2;1;7;4;0;0;10;10;10;10;10;2;2;2;1;1;1;1;1;2;3;5;6;7;10;4;5;10;5;6;5;6;0;0;2;1;1;1;1;1;5;12;12;12;12;12;3;7;2;3;3;3;3;2;4;1,61923011990459;2
1296;612;2;1;3;3;1;62;5;8;8;6;6;11;6;5;2;4;15;6;25;99;1;1;3;3;5;8;3;8;7;8;7;7;6;3;3;2;1;2;2;1;1;2;1;2;7;6;3;5;10;10;3;8;2;3;0;0;2;2;2;2;1;1;4;8;3;0;12;12;2;8;1;1;2;5;1;5;4;,874827065593637;2
1297;703;2;2;3;85;1;60;1;6;5;4;3;4;3;3;1;2;4;1;6;99;2;2;3;1;4;7;0;4;8;7;8;8;8;2;2;2;2;2;2;2;2;2;2;2;7;6;10;4;10;10;4;7;5;5;0;0;2;2;2;2;1;1;4;6;5;5;12;12;3;8;1;1;3;2;2;2;4;,936410239036902;2
1298;9;2;1;3;20;2;62;1;6;6;7;6;7;4;5;6;1;7;6;1;2;2;2;2;2;6;4;1;1;3;6;8;7;8;2;3;3;2;2;3;1;6;12;5;3;4;2;7;1;3;10;8;0;8;3;5;1;2;1;2;2;1;1;7;12;6;6;12;12;5;5;3;3;5;3;2;2;4;1,2318278489646;3
1299;16;2;2;3;20;1;30;1;7;7;8;7;7;7;3;1;13;99;1;6;2;1;1;1;1;8;6;3;5;8;9;10;10;10;1;1;1;1;2;1;4;2;12;5;15;7;10;10;3;10;10;6;7;7;6;8;1;1;1;1;1;1;2;12;12;12;12;12;7;0;6;2;1;4;4;3;7;1;3,29869175045675;3
1300;697;2;2;3;45;1;54;2;2;5;3;2;3;2;4;1;2;4;6;99;99;1;2;1;1;6;8;0;10;8;8;10;10;10;4;4;1;2;2;2;1;1;4;1;4;6;7;3;2;10;10;0;3;0;0;0;0;2;2;2;2;1;1;0;5;3;0;12;12;0;7;1;1;4;3;3;2;4;,615105790521687;1
1301;509;2;1;3;20;2;61;1;8;8;7;7;7;7;4;1;2;99;2;8;99;1;2;2;1;10;5;0;0;10;10;8;8;10;2;2;2;1;2;3;1;1;12;5;3;7;2;10;3;5;1;6;5;10;7;0;0;2;2;2;2;1;2;4;4;6;0;12;0;3;5;3;3;3;4;3;5;4;,803148068758848;3
1302;650;2;1;3;902;1;32;1;7;7;7;7;5;4;6;1;6;2;2;1;99;1;3;3;3;2;7;0;7;5;5;9;8;3;4;4;1;2;2;2;1;1;2;1;2;8;8;8;8;8;8;1;7;0;1;0;0;2;2;2;2;2;2;2;8;0;0;0;0;0;7;1;1;1;5;3;2;4;,874827065593637;2
1303;691;2;2;1;46;1;68;5;9;9;4;4;3;3;7;11;15;1;99;99;99;1;2;1;1;3;0;0;0;10;10;10;10;10;3;3;1;1;1;1;1;1;12;5;2;7;6;10;2;5;4;5;7;3;6;0;0;2;2;2;2;2;2;3;5;3;0;5;0;2;7;1;1;1;4;3;5;4;,874827065593637;2
1304;19;2;1;3;27;2;22;4;8;8;8;7;6;6;5;1;4;8;23;22;1;1;2;2;2;7;5;3;3;9;9;9;9;9;2;3;2;2;2;1;1;1;5;2;4;7;6;10;9;9;9;6;6;6;9;0;0;2;1;1;1;1;1;6;12;12;12;12;12;2;5;3;2;2;4;2;2;4;,374672202738685;2
1305;706;2;2;3;71;2;74;5;7;5;7;6;5;5;5;1;8;25;19;4;98;2;2;1;1;7;5;0;3;10;7;10;8;10;2;5;2;1;1;2;1;1;1;2;1;6;7;4;2;10;10;9;7;6;6;0;0;2;2;2;2;2;2;8;7;6;0;4;0;7;10;1;4;4;5;2;2;4;,942953424357403;1
1306;694;2;2;3;85;1;39;1;8;8;6;7;5;4;1;1;8;2;8;99;99;2;2;3;1;3;7;1;5;9;7;9;6;9;2;3;2;1;1;1;1;1;1;2;1;7;6;3;2;4;5;9;9;1;7;0;0;2;2;2;2;1;2;5;8;1;0;12;0;3;10;1;1;1;5;2;2;4;,574370201074409;2
1307;574;2;2;3;82;2;46;1;8;6;4;4;4;4;2;4;34;2;98;98;98;3;2;2;2;8;6;7;5;10;10;10;8;6;2;4;1;3;3;2;2;1;1;1;2;4;2;7;3;10;10;7;3;7;4;5;0;2;2;1;1;1;1;8;6;12;12;12;12;5;5;3;3;3;5;2;2;4;,936410239036902;2
1308;701;2;2;3;999;1;44;1;7;5;6;5;4;3;6;8;1;4;6;99;99;2;2;3;2;5;4;0;4;8;8;10;8;7;3;3;3;3;2;2;2;2;2;1;2;8;8;8;8;8;8;2;6;2;0;0;0;2;1;1;1;1;1;2;12;12;12;12;12;3;9;1;1;1;2;3;2;4;,874827065593637;1
1309;693;2;1;3;20;2;44;1;7;8;7;7;0;5;5;2;7;99;99;99;99;1;1;1;1;8;6;3;0;10;10;10;8;10;1;3;4;4;4;4;1;2;1;3;1;7;2;6;3;10;10;8;0;5;5;0;0;2;1;1;1;1;1;5;12;12;12;12;12;5;0;2;3;4;2;3;2;4;,942953424357403;3
1310;697;2;2;1;16;1;45;1;6;7;6;5;5;4;3;2;1;99;2;6;99;1;2;4;4;2;6;0;4;7;8;8;3;8;3;4;1;2;3;3;3;4;14;5;9;7;6;1;8;8;8;0;2;0;1;0;0;2;2;2;2;1;2;0;1;0;0;12;0;0;11;1;1;1;4;3;2;4;2,00929356111465;1
1311;692;2;2;3;20;2;26;1;9;9;6;4;7;5;7;5;1;13;2;7;99;3;3;1;3;2;0;3;0;10;10;10;10;9;3;4;1;3;1;1;1;1;7;2;7;3;2;4;6;1;10;8;0;0;0;9;10;2;2;2;2;2;2;7;7;6;2;4;8;8;7;3;2;1;4;3;2;4;,614389181303725;3
1312;690;2;2;3;20;2;56;1;7;7;7;6;5;4;11;1;7;99;2;99;99;3;2;4;1;6;3;3;3;10;10;10;10;10;2;2;2;1;1;1;1;1;12;5;14;7;6;10;2;1;10;7;8;6;8;0;0;2;2;2;1;1;1;7;6;6;12;12;12;2;7;2;2;5;3;2;2;4;1,43621861941823;3
1313;709;2;1;3;84;1;50;1;5;4;5;3;3;2;2;1;6;4;1;6;4;3;4;1;3;9;6;1;0;9;8;10;10;8;3;3;2;2;2;2;1;1;3;3;3;7;1;6;4;5;10;3;3;8;6;0;0;2;2;2;1;1;1;4;3;8;12;12;12;2;3;3;3;3;5;3;2;4;,803148068758848;2
1314;650;2;1;3;20;1;63;5;7;6;6;5;4;4;5;7;2;1;6;2;99;3;2;1;1;2;4;0;2;9;8;9;9;9;2;2;3;3;2;2;1;2;3;3;3;2;7;4;9;9;9;7;4;7;5;3;0;2;2;2;2;1;1;7;5;8;4;12;12;5;5;3;2;3;3;2;2;4;,803148068758848;3
1315;703;2;2;3;82;1;28;1;8;9;5;4;0;0;6;1;7;2;6;2;99;1;2;3;1;2;3;5;3;10;10;10;9;9;1;1;3;3;3;1;1;1;8;2;4;6;3;2;4;5;10;0;0;0;0;0;0;2;1;1;1;1;1;5;12;12;12;12;12;5;5;2;3;3;2;3;2;4;,401047133457101;2
1316;704;2;1;1;20;1;48;1;5;7;8;8;4;5;3;2;1;5;6;99;99;2;1;2;1;8;3;2;2;10;6;10;8;9;1;2;1;1;1;2;1;1;1;1;1;8;8;8;8;8;8;9;5;5;3;2;0;2;2;2;2;1;2;9;5;5;3;12;0;6;8;1;2;1;3;3;2;4;,574370201074409;3
1317;695;2;2;3;20;2;48;6;6;6;7;8;7;8;7;15;2;99;1;2;6;1;2;2;1;5;10;5;6;6;6;2;6;4;1;1;1;1;1;1;4;1;2;1;12;7;6;10;3;10;10;8;6;10;11;8;0;2;2;2;2;1;2;8;8;7;7;12;10;5;10;3;1;4;2;2;7;1;3,29869175045675;3
1318;612;2;1;3;69;1;29;1;9;9;5;5;6;6;0;7;10;4;6;7;8;2;2;1;3;5;8;1;0;2;2;8;9;3;3;3;2;2;2;2;1;1;1;3;14;7;3;4;2;10;10;2;2;0;0;0;0;2;2;2;2;1;1;1;3;2;0;12;12;5;5;1;3;1;5;3;2;4;,874827065593637;2
1319;707;2;2;3;13;1;41;1;5;10;5;3;5;3;5;7;31;1;31;7;1;2;3;3;1;5;10;0;10;7;10;10;10;10;3;3;3;1;1;1;1;2;2;3;1;7;6;10;4;1;5;5;9;5;5;2;0;1;2;1;2;1;1;12;8;12;7;12;12;2;10;3;1;4;3;3;7;1;,942953424357403;2
1320;525;2;2;1;46;1;68;5;7;7;3;2;7;3;4;4;2;1;6;18;99;2;3;3;1;5;5;0;4;8;8;10;7;7;3;4;2;1;1;1;1;2;2;1;2;1;7;6;10;10;10;3;10;4;6;0;0;2;2;2;2;1;1;3;7;2;0;12;12;0;10;1;1;1;2;2;2;4;,874827065593637;2
1321;693;2;2;3;20;2;71;5;7;7;5;5;4;4;0;8;2;99;8;99;99;1;2;1;2;5;2;0;0;10;6;10;10;10;2;2;2;1;1;1;1;1;3;1;3;7;6;10;5;10;10;5;5;10;7;0;0;2;1;2;1;1;1;5;12;8;12;12;12;2;0;3;3;4;2;3;2;4;1,2318278489646;3
1322;574;2;2;3;82;1;71;5;8;7;6;6;4;3;5;2;6;8;99;99;99;1;3;1;2;8;6;4;4;5;5;7;7;7;3;3;3;3;3;3;1;1;3;3;3;6;7;10;9;9;9;5;5;5;5;0;0;2;2;2;1;1;2;5;5;5;12;12;5;5;5;3;3;4;2;2;2;4;1,2318278489646;2
1323;16;2;1;3;17;2;67;5;6;7;1;5;0;4;5;5;1;14;31;99;99;3;2;1;1;0;1;0;0;10;5;10;6;9;3;4;4;2;3;1;2;2;12;5;14;6;10;10;1;10;10;5;5;5;4;0;3;1;1;1;1;1;1;12;12;12;12;12;12;0;0;2;1;1;2;2;5;4;2,00929356111465;2
1324;701;2;1;3;20;1;45;1;8;8;5;5;4;4;2;7;2;8;7;8;2;3;2;3;1;5;4;0;0;9;9;10;10;10;2;3;2;3;2;2;1;1;2;2;2;6;7;3;1;5;10;4;9;0;5;0;0;2;2;1;1;1;1;5;7;12;12;12;12;1;7;1;1;1;3;3;2;4;,874827065593637;3
1325;697;2;2;3;27;1;46;6;7;7;8;7;7;7;7;2;1;99;6;99;99;2;2;2;1;9;7;5;7;7;7;9;7;6;1;2;2;4;4;2;1;1;1;3;1;7;5;10;3;10;10;8;7;7;2;2;0;1;1;1;1;1;1;12;12;12;12;12;12;5;7;5;2;3;3;3;2;4;,614802808962925;2
1326;509;2;1;3;82;2;22;4;7;10;10;7;5;6;0;98;2;99;9;99;99;1;2;2;1;7;5;2;3;7;10;10;7;6;1;1;2;1;1;2;5;5;14;5;12;7;6;10;1;10;10;6;6;6;5;4;5;1;2;1;1;1;2;12;10;12;12;12;8;5;11;1;1;3;2;2;2;4;2,15073714321118;2
1327;19;2;2;3;13;1;53;1;8;8;7;7;6;7;5;8;16;9;9;7;15;2;2;3;1;6;7;6;6;10;10;10;10;10;2;2;3;3;2;1;2;1;1;2;15;7;2;10;3;10;10;9;4;6;4;4;0;2;2;2;2;1;2;8;6;6;4;12;4;6;5;2;2;1;4;2;2;4;,574370201074409;2
1328;699;2;2;3;44;2;70;5;8;8;5;5;2;1;6;1;8;13;99;99;99;2;2;1;1;6;5;0;3;10;11;10;10;10;2;3;2;2;2;2;1;1;2;1;2;7;6;1;5;4;3;5;8;5;7;0;0;2;2;1;1;1;2;6;7;12;12;12;0;0;8;2;2;3;5;1;2;4;,936410239036902;2
1329;690;2;1;3;44;1;54;1;7;7;6;6;4;4;0;2;5;1;99;99;99;2;2;1;1;6;1;0;0;9;6;10;9;9;2;3;3;3;3;2;1;1;2;1;2;6;7;10;1;10;10;4;10;4;2;0;0;1;2;2;1;1;1;12;7;3;12;12;12;5;10;1;2;3;3;2;2;4;,936410239036902;2
1330;702;2;2;3;84;2;18;4;7;9;6;5;5;5;6;4;16;8;8;10;13;3;3;1;4;7;5;5;5;7;6;8;7;7;5;5;1;5;2;2;4;1;10;5;13;1;7;2;6;10;10;4;4;4;4;6;5;2;1;1;1;1;2;11;12;12;12;12;5;5;2;3;4;2;4;4;2;4;2,00929356111465;2
1331;707;2;2;3;20;1;48;1;7;7;6;6;5;4;3;1;2;15;2;99;99;2;2;4;4;6;6;5;3;5;10;8;10;10;2;3;2;2;1;1;1;2;2;2;2;6;7;1;4;5;10;3;8;5;7;1;0;2;1;1;2;1;2;5;12;12;2;12;0;3;5;3;2;5;5;3;2;4;1,43621861941823;3
1332;709;2;2;1;82;1;58;1;9;9;7;7;6;6;5;1;2;10;10;8;99;1;3;1;1;6;5;1;0;8;6;10;5;9;2;3;3;1;3;4;2;6;12;5;1;7;6;2;1;10;10;7;2;5;6;0;0;2;2;2;2;2;2;6;3;4;2;2;1;6;9;1;1;2;4;1;2;4;,574370201074409;2
1333;693;2;2;3;20;2;57;1;7;5;3;3;3;3;8;8;1;13;8;1;99;4;4;1;3;5;5;0;0;10;10;10;10;8;3;3;3;3;3;1;4;1;12;5;9;7;10;10;3;2;10;5;8;8;6;4;0;1;1;1;1;1;2;12;12;12;12;12;6;5;4;2;1;4;2;3;7;1;3,29869175045675;3
1334;697;2;2;1;57;1;55;1;8;8;8;8;6;5;3;1;99;99;99;99;99;2;2;1;1;5;5;0;2;10;10;9;9;9;1;2;1;1;2;2;1;1;2;1;2;6;7;3;5;10;10;4;10;2;6;0;0;2;2;2;2;1;2;7;9;4;1;12;0;0;10;1;1;1;5;2;2;4;,874827065593637;1
1335;434;2;1;3;90;1;44;1;7;7;7;7;5;5;6;8;2;1;6;99;99;1;2;3;1;7;8;6;5;10;10;10;10;10;3;3;2;3;3;3;1;1;13;5;15;7;6;10;1;2;10;8;8;7;5;0;0;2;2;2;1;1;1;7;7;6;12;12;12;1;9;2;1;3;2;3;2;4;,936410239036902;1
1336;509;2;1;3;44;1;39;1;7;9;7;7;6;6;3;1;9;9;9;99;99;1;2;2;3;7;5;3;3;5;3;6;10;10;2;2;2;3;3;2;1;1;3;3;3;7;4;2;1;6;10;5;0;5;2;4;0;2;2;2;1;1;1;6;2;3;12;12;12;4;0;4;3;4;4;3;5;4;1,2318278489646;2
1337;525;2;2;3;78;2;50;1;9;9;6;6;6;6;3;7;2;10;23;10;7;2;2;3;1;6;4;0;0;9;9;8;10;10;2;4;2;3;2;2;1;1;1;2;2;7;10;10;3;10;10;10;8;7;6;0;0;2;2;2;2;2;2;10;10;3;0;4;0;3;10;1;1;2;5;2;2;4;,874827065593637;2
1338;574;2;2;3;20;1;46;1;8;8;7;6;6;6;6;7;2;1;23;6;7;2;2;1;1;7;6;3;6;8;8;9;7;7;2;2;3;2;1;1;1;2;13;5;2;3;6;7;2;1;10;6;6;4;6;0;0;2;2;2;2;1;1;7;8;3;1;12;12;3;9;1;1;2;5;2;2;4;,874827065593637;3
1339;434;2;1;3;20;2;54;1;5;5;5;5;4;3;1;2;1;99;98;99;99;3;5;1;1;5;4;2;2;8;9;10;10;10;2;4;3;3;3;3;1;1;12;5;1;7;6;3;1;10;10;6;2;4;4;2;0;2;1;1;1;1;2;6;12;12;12;12;5;4;4;2;3;4;4;3;2;4;,942953424357403;3
1340;692;2;1;3;82;1;47;1;5;5;5;4;3;2;0;2;6;99;19;99;99;1;1;1;2;5;5;5;0;10;10;5;10;10;1;1;3;3;3;3;2;1;2;2;2;7;6;10;4;1;10;6;10;5;5;0;0;2;2;2;2;1;1;6;5;6;9;12;12;5;5;2;2;5;2;3;2;4;1,43621861941823;2
1341;709;2;1;3;80;2;28;2;7;8;7;7;7;7;6;1;2;2;6;6;99;1;2;2;2;8;6;7;5;5;5;8;8;8;1;1;2;2;1;1;2;6;1;3;9;7;6;10;5;2;3;6;5;6;6;3;1;2;2;1;1;1;2;6;6;12;12;12;6;4;3;3;3;1;4;3;2;4;2,00929356111465;2
1342;574;2;2;1;44;2;37;1;5;5;4;3;1;1;6;8;1;1;26;6;1;2;2;1;1;3;6;2;4;8;8;10;9;10;3;3;3;1;2;3;1;1;2;1;2;8;8;8;8;8;8;2;10;1;2;0;0;2;2;2;2;2;2;0;8;0;0;0;0;2;9;1;1;2;5;3;2;4;,874827065593637;2
1343;434;2;2;3;13;2;51;1;7;8;7;7;8;8;1;2;7;16;2;16;23;1;2;2;1;8;0;0;0;9;9;9;8;8;2;2;2;1;1;1;1;1;3;1;3;7;6;2;5;10;10;4;0;8;5;0;0;2;1;2;1;1;2;4;12;4;12;12;7;5;0;3;3;3;3;3;2;4;,803148068758848;2
1344;525;2;1;3;20;1;57;1;6;7;2;0;2;0;7;25;5;4;5;7;4;3;3;1;3;8;0;8;0;5;5;9;7;5;3;3;3;3;3;1;1;1;7;3;6;2;5;10;3;10;10;4;0;3;4;8;8;2;1;1;1;1;1;5;12;12;12;12;12;5;0;3;3;5;5;2;5;4;2,20578650558434;3
1345;726;2;1;3;902;2;41;1;6;6;6;6;5;5;4;1;7;8;2;99;99;2;2;1;1;7;5;5;4;6;5;8;7;7;3;3;2;3;3;3;3;3;14;5;9;7;5;2;1;3;10;5;4;5;1;1;0;2;1;1;1;1;1;5;12;12;12;12;12;5;5;3;2;4;4;2;2;4;3,29869175045675;2
1346;875;2;1;3;13;2;45;1;8;7;7;6;6;5;7;1;2;6;2;1;7;2;1;2;1;6;5;4;4;9;9;9;9;9;2;2;2;1;1;1;1;1;1;2;1;7;6;10;10;10;10;7;6;6;5;0;0;2;2;2;2;2;2;8;6;6;5;5;4;2;8;2;2;2;5;3;2;4;,574370201074409;2
1347;574;2;1;3;15;1;29;2;3;5;7;5;3;3;5;2;1;8;2;1;99;1;3;1;1;5;0;0;2;0;2;7;5;8;2;4;4;3;4;4;3;4;14;5;9;1;3;10;4;5;10;5;0;3;2;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;0;2;3;1;2;3;2;4;2,00929356111465;2
1348;434;2;2;3;84;1;70;5;7;5;8;6;2;0;5;1;8;2;31;99;99;2;2;1;1;8;0;0;0;10;11;10;10;10;2;1;3;1;2;3;1;1;2;1;2;5;7;6;1;10;10;7;10;0;5;0;0;2;1;1;1;1;1;8;12;12;12;12;12;5;5;2;2;2;2;3;2;4;,874827065593637;2
1349;712;2;1;3;17;2;58;1;9;6;7;6;4;4;2;5;7;9;98;7;99;2;3;3;1;7;5;0;0;10;7;8;8;8;3;4;2;1;1;1;1;1;1;1;1;2;4;7;3;10;10;8;4;4;0;0;0;2;2;1;1;2;1;9;0;12;12;0;12;5;9;2;2;1;4;1;5;4;,574370201074409;2
1350;716;2;1;3;57;2;61;1;8;8;7;7;9;9;0;2;8;99;8;2;1;1;2;1;1;9;9;3;3;9;8;9;7;6;1;3;4;4;4;4;1;1;1;2;1;7;6;10;2;10;10;8;8;5;5;0;0;2;2;1;1;1;1;8;7;12;12;12;12;5;7;2;2;3;3;3;7;1;,614802808962925;1
1351;720;2;1;3;82;1;69;5;7;11;7;11;5;5;7;1;17;4;99;99;99;1;2;4;3;7;5;0;3;7;11;9;9;9;2;3;3;3;3;2;1;1;13;5;15;3;6;7;4;2;1;5;8;6;5;0;0;2;1;2;2;1;1;6;12;5;2;12;12;8;9;3;2;5;3;2;2;4;1,43621861941823;2
1352;715;2;1;3;11;2;63;3;10;11;7;11;2;11;0;1;99;99;99;99;99;1;1;1;1;0;0;0;0;10;0;7;5;5;1;4;1;1;1;3;1;1;2;1;2;7;6;10;5;4;3;0;10;5;0;0;0;2;2;2;2;2;2;4;10;4;0;5;0;0;10;1;1;4;4;1;2;4;1,43621861941823;2
1353;714;2;2;3;13;2;32;1;7;9;7;8;7;8;6;9;99;99;99;99;99;2;1;1;1;7;4;0;4;10;7;9;9;8;1;1;3;1;1;2;4;1;3;2;9;7;10;10;6;10;10;4;4;8;4;7;0;1;1;2;1;1;1;12;12;6;12;12;12;7;7;1;1;4;2;2;7;2;3,29869175045675;2
1354;718;2;2;3;78;2;36;1;9;10;9;10;6;7;0;23;2;23;23;10;1;1;1;1;1;10;0;4;0;7;10;10;7;8;1;1;4;3;3;3;3;3;14;5;9;8;8;8;8;8;8;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;5;3;2;4;5;3;7;1;3,29869175045675;2
1355;727;2;2;3;90;1;67;5;9;5;10;10;4;3;7;99;99;99;99;99;99;2;3;4;4;10;10;0;3;10;9;9;11;8;2;3;1;2;2;2;1;1;13;5;12;7;6;3;5;2;4;10;10;8;3;0;0;2;1;1;1;1;1;10;12;12;12;12;12;0;10;1;1;5;5;3;2;4;3,29869175045675;1
1356;721;2;1;3;54;2;81;3;6;5;5;4;4;4;5;8;98;7;22;99;99;1;2;4;4;0;5;0;0;5;11;8;11;11;3;4;4;2;3;5;2;4;14;5;1;7;6;10;1;2;10;5;5;4;11;0;0;2;1;1;2;1;1;8;12;12;8;12;12;6;8;1;4;3;1;3;2;4;,614802808962925;2
1357;722;2;1;3;80;1;46;1;9;10;6;5;6;5;2;7;2;1;7;6;99;3;3;2;2;8;8;7;6;8;5;10;10;10;2;2;2;3;2;2;1;1;1;2;1;4;2;5;7;6;10;8;2;1;2;8;8;2;1;2;1;2;1;7;12;2;12;2;12;9;5;3;3;2;4;3;2;4;,574370201074409;2
1358;715;2;1;1;60;2;70;5;9;11;8;9;7;11;3;99;99;99;99;99;99;2;2;1;1;8;11;0;5;9;11;11;0;11;2;2;2;1;1;2;1;1;13;5;2;7;6;10;2;10;10;8;9;8;8;0;0;2;2;2;2;1;1;8;8;7;2;12;12;0;8;2;4;1;5;3;2;4;,874827065593637;1
1359;712;2;1;3;999;2;73;5;8;8;7;5;7;5;5;2;1;99;2;99;99;2;2;2;2;7;3;0;0;10;10;8;5;8;2;3;2;2;2;2;1;1;3;1;15;7;6;10;1;5;10;7;6;9;6;0;0;2;1;2;1;1;1;6;12;5;12;12;12;2;7;2;3;3;4;2;2;4;,803148068758848;1
1360;726;2;1;3;82;1;59;1;7;7;6;6;6;6;0;2;1;8;8;99;99;2;2;3;3;8;5;0;0;10;10;10;10;10;2;2;3;3;3;3;1;2;3;1;3;2;7;1;5;10;10;5;0;9;8;5;1;2;1;1;1;1;1;6;12;12;12;12;12;3;0;4;3;4;4;3;5;4;1,2318278489646;2
1361;722;2;1;3;44;2;82;5;5;5;9;9;5;3;7;4;99;99;2;99;99;1;1;2;4;7;8;4;5;9;11;10;10;7;2;2;4;5;5;5;1;1;1;1;1;7;2;5;6;10;10;9;6;5;3;7;3;1;2;2;2;1;2;12;6;5;4;12;5;7;6;3;2;4;2;2;2;4;,942953424357403;2
1362;720;2;1;3;46;2;53;1;9;9;5;5;2;2;8;1;2;8;1;2;8;1;2;1;1;8;5;2;0;10;10;10;10;10;2;4;3;2;2;2;1;1;12;5;1;5;1;2;3;10;10;8;0;0;2;0;4;2;1;1;1;1;1;7;12;12;12;12;12;5;5;3;3;4;2;3;2;4;,942953424357403;2
1363;716;2;2;3;82;1;52;1;8;8;5;5;5;5;8;6;1;9;9;8;99;2;2;3;2;6;5;3;2;8;8;9;7;5;2;2;3;3;3;3;3;4;14;5;9;6;7;10;8;8;8;6;5;7;6;4;2;2;1;1;1;1;1;5;12;12;12;12;12;6;4;3;3;2;4;3;2;4;2,00929356111465;2
1364;712;2;1;3;3;2;39;1;5;7;6;6;4;4;5;1;6;2;2;1;99;1;2;1;1;5;2;0;0;9;6;8;8;8;2;4;4;1;1;1;2;2;12;5;2;6;7;10;2;10;10;5;6;0;0;0;0;2;1;1;1;1;1;6;12;12;12;12;12;3;5;2;2;3;3;3;2;4;,936410239036902;2
1365;720;2;1;3;15;1;27;1;6;5;8;11;7;8;4;15;9;99;6;9;2;2;3;1;1;10;10;4;7;10;6;10;8;10;2;2;4;4;4;2;2;2;3;1;3;6;7;2;4;1;10;10;7;10;5;4;7;2;1;2;2;2;1;10;12;9;10;8;12;7;3;6;1;5;2;2;7;1;1,2318278489646;2
1366;714;2;1;3;82;1;55;1;8;8;6;6;5;5;5;6;1;8;6;8;10;1;3;4;1;7;5;3;3;8;8;10;10;10;2;2;4;2;2;3;2;2;12;5;11;6;7;2;9;9;9;5;0;5;5;0;0;2;2;2;2;1;1;7;5;7;5;12;12;4;6;3;2;3;3;2;2;4;2,15073714321118;2
1367;718;2;1;3;96;2;64;5;6;7;7;5;6;5;5;1;7;10;22;22;98;2;2;1;2;10;5;0;0;10;10;8;5;8;2;2;2;1;2;2;2;2;13;5;3;7;6;2;5;3;4;6;0;7;7;3;0;2;2;2;2;1;1;6;1;6;3;12;12;5;5;3;3;1;5;1;2;4;,750328903870316;1
1368;727;2;2;3;46;2;57;1;10;10;8;9;8;9;0;2;99;99;31;99;99;1;1;2;1;0;2;0;0;8;9;10;8;9;4;3;4;2;3;4;1;1;12;5;6;2;6;1;3;7;4;0;0;0;0;0;0;1;1;1;1;1;1;12;12;12;12;12;12;5;7;6;1;5;2;3;2;4;2,20578650558434;2
1369;728;2;2;3;20;1;54;1;5;5;6;6;4;2;7;1;2;6;2;99;99;2;2;1;3;5;7;2;0;4;4;8;9;4;2;3;3;2;2;2;1;1;3;2;3;7;6;1;4;5;2;5;5;9;7;0;0;2;1;1;1;1;1;3;12;12;12;12;12;3;4;3;2;3;3;3;2;4;,803148068758848;3
1370;721;2;1;1;20;1;70;5;9;9;7;7;7;7;2;99;99;99;99;99;99;1;2;1;1;5;3;0;0;7;9;8;8;8;2;3;2;1;2;2;1;1;2;1;2;7;6;10;10;10;10;8;9;7;7;4;0;2;2;2;2;1;1;7;9;5;3;12;12;1;9;2;1;2;4;2;2;4;,874827065593637;3
1371;722;2;2;3;13;2;33;3;10;10;0;0;0;0;0;4;99;99;5;6;99;2;2;3;3;5;3;7;3;4;6;5;7;3;4;4;2;2;2;2;5;1;7;2;12;2;4;5;6;10;10;3;0;0;0;5;8;1;1;1;1;1;1;12;12;12;12;12;12;9;0;5;2;4;4;3;7;1;3,29869175045675;2
